#           time-2400000.0,         flux,         fluxerr
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       350.56003       251.51145       154.07300       192.88059
        56896.0017130933774752  1.0091041672872185  0.0000070034371208
        56896.0221452414480154  1.0090529511561206  0.0000070032432668
        56896.0425773890456185  1.0089867968955943  0.0000070029125406
        56896.0630095366504975  1.0091395722357268  0.0000070034633309
        56896.0834416833240539  1.0089147686064708  0.0000070026075839
        56896.1038739295254345  1.0090215307778794  0.0000070030448956
        56896.1243060757333296  1.0092373770244023  0.0000070037121499
        56896.1447381210091407  1.0090001855591169  0.0000070028297077
        56896.1651703662791988  1.0091121984276932  0.0000070031655312
        56896.1856025106244488  1.0088783859340336  0.0000070022879933
        56896.2060345549689373  1.0090182390648128  0.0000070027670801
        56896.2264667988420115  1.0089164910367392  0.0000070024064164
        56896.2468988417895162  1.0090648437196716  0.0000070028442566
        56896.2673309847377823  1.0092926444831314  0.0000070036705237
        56896.2877632272138726  1.0091078609614392  0.0000070029839516
        56896.3081952692300547  1.0088263305167458  0.0000070018905003
        56896.3490596518604434  1.0092258160865193  0.0000070033316361
        56896.3694916924796416  1.0091531634382891  0.0000070030166355
        56896.3899238326339400  1.0093527889093963  0.0000070036631945
        56896.4103560723160626  1.0093414503808666  0.0000070036145130
        56896.4307881115382770  1.0091556806769744  0.0000070029231028
        56896.4512202502955915  1.0091954795126132  0.0000070030710850
        56896.4716524885807303  1.0092669999807613  0.0000070032932815
        56896.4920846268723835  1.0094063321033289  0.0000070037684377
        56896.5125167642327142  1.0094807537010362  0.0000070039761828
        56896.5329489011201076  1.0094412251314289  0.0000070038401690
        56896.5533810380147770  1.0095770311524228  0.0000070043248135
        56896.5738131739781238  1.0093809398582365  0.0000070035914730
        56896.5942453099341947  1.0092347534719652  0.0000070030846194
        56896.6146774449662189  1.0093662991911219  0.0000070035345175
        56896.6759738481923705  1.0093014278979275  0.0000070040223431
        56896.6964060818281723  1.0093729673781793  0.0000070042663072
        56896.7168381149895140  1.0094578409039254  0.0000070045378710
        56896.7372702476932318  1.0093766140526748  0.0000070042837078
        56896.7577024799247738  1.0092449452381891  0.0000070038706616
        56896.7781345116964076  1.0092570681830841  0.0000070039259845
        56896.7985666430031415  1.0091726239021150  0.0000070036505310
        56896.8189988738449756  1.0094111597123043  0.0000070044561631
        56896.8394309046780108  1.0093315399205609  0.0000070041889973
        56896.8598630345877609  1.0092161160568236  0.0000070038025060
        56896.8802952640253352  1.0090390499302377  0.0000070031858145
        56896.9007272934686625  1.0091863858545094  0.0000070037155144
        56896.9211595219821902  1.0094711997588444  0.0000070047226708
        56896.9415916500292951  1.0093019851780354  0.0000070041668260
        56896.9620236780683626  1.0091210872030723  0.0000070035512378
        56896.9824559056505677  1.0092469321951218  0.0000070039322964
        56897.0028880322934128  1.0094159943003902  0.0000070045170369
        56897.0233200589427724  1.0089194099704377  0.0000070028451979
        56897.0437522851279937  1.0089247968593660  0.0000070028654060
        56897.0641844108467922  1.0091599458265288  0.0000070037388889
        56897.0846164356262307  1.0090246426375831  0.0000070032371934
        56897.1050486604144680  1.0088685274704836  0.0000070025972382
        56897.5545552953262813  1.0087504170585964  0.0000070017419551
        56897.5749875098626944  1.0085865773678830  0.0000070011610972
        56897.5954196244056220  1.0087278404951110  0.0000070016609302
        56897.6158516380091896  1.0087022436620652  0.0000070015272271
        56897.6362838516215561  1.0087229491487772  0.0000070015950470
        56897.6567159647674998  1.0084487723048328  0.0000070005910186
        56897.7384443122136872  1.0087110557597718  0.0000070014443936
        56897.7588765230320860  1.0086775268569779  0.0000070013099280
        56897.7793085333833005  1.0088057123240777  0.0000070017682747
        56897.7997407437287620  1.0086669864130651  0.0000070012158609
        56897.8201728531494155  1.0086742818038306  0.0000070012746421
        56897.8406049621044076  1.0088215332311041  0.0000070017813555
